Place,Type of meteorite,"Mass, g",Fell/found?,Year,Database,Coordinate 1,Coordinates 2
Kesen,H4,"135,000",Fell,1850,http://www.lpi.usra.edu/meteor/metbull.php?code=12286,38.98333,141.61667
Colomera,"Iron, IIE","134,000",Found,1912,http://www.lpi.usra.edu/meteor/metbull.php?code=5404,37.43333,-3.65
Carnegie,L6,"132,700",Found,1963,http://www.lpi.usra.edu/meteor/metbull.php?code=5278,35.16667,-98.64389
Araslanovo,L/LL5,"132,000",Found,1973,http://www.lpi.usra.edu/meteor/metbull.php?code=2324,55.14167,48.2
Karavannoe,"Pallasite, PES","132,000",Found,1960s,http://www.lpi.usra.edu/meteor/metbull.php?code=56567,57.78117,47.67967
Dong Ujimqin Qi,Mesosiderite,"128,800",Fell,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=7706,45.5,119.03333
Chebankol,"Iron, IAB-sHL","127,760",Found,1938,http://www.lpi.usra.edu/meteor/metbull.php?code=5335,53.66667,88
Ozona,H6,"127,500",Found,1929,http://www.lpi.usra.edu/meteor/metbull.php?code=18066,30.73333,-101.3
Ensisheim,LL6,"127,000",Fell,1492,http://www.lpi.usra.edu/meteor/metbull.php?code=10039,47.86667,7.35
Carthage,"Iron, IIIAB","127,000",Found,1840,http://www.lpi.usra.edu/meteor/metbull.php?code=5282,36.26667,-85.98333
Keqi,Iron,"127,000",Found,1966,http://www.lpi.usra.edu/meteor/metbull.php?code=12281,42.73333,117.5
Dho 005,L6,"125,500",Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=6704,18.16667,54.16667
JaH 091,L5,"123,374",Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=12150,19.69362,56.65432
Bur-Gheluai,H5,"120,000",Fell,1919,http://www.lpi.usra.edu/meteor/metbull.php?code=5169,5,48
Santiago Papasquiero,"Iron, ungrouped","119,500",Found,1958,http://www.lpi.usra.edu/meteor/metbull.php?code=23169,24.5,-106
Duketon,"Iron, IIIAB","118,300",Found,1948,http://www.lpi.usra.edu/meteor/metbull.php?code=7740,-27.5,122.36667
Bencubbin,CBa,"118,000",Found,1930,http://www.lpi.usra.edu/meteor/metbull.php?code=5014,-30.75,117.78333
Scurry,H5,"118,000",Found,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=23468,32.5,-101
Para de Minas,"Iron, IVA","116,300",Found,1934,http://www.lpi.usra.edu/meteor/metbull.php?code=18099,-19.86667,-44.61667
Cleveland,"Iron, IIIAB","115,000",Found,1860,http://www.lpi.usra.edu/meteor/metbull.php?code=5379,34.88333,-84.78333
Tafassasset,CR-an,"114,000",Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=23779,20.76333,10.44167
Caperr,"Iron, IIIAB","113,900",Found,1869,http://www.lpi.usra.edu/meteor/metbull.php?code=5263,-45.28333,-70.48333
Buenaventura,"Iron, IIIAB","113,600",Found,1969,http://www.lpi.usra.edu/meteor/metbull.php?code=5162,29.8,-107.55
Gundaring,"Iron, IIIAB","112,500",Found,1937,http://www.lpi.usra.edu/meteor/metbull.php?code=11452,-33.3,117.66667
Oakley (iron),"Iron, IIIF","111,000",Found,1926,http://www.lpi.usra.edu/meteor/metbull.php?code=17972,42.33333,-113.7
Florey,H6,"110,800",Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=10112,32.5225,-102.705
Etosha,"Iron, IC","110,700",Found,1970,http://www.lpi.usra.edu/meteor/metbull.php?code=10061,-18.5,16
LEW 85320,H5,"110,224",Found,1985,http://www.lpi.usra.edu/meteor/metbull.php?code=12790,-84.26223,161.41628
Mount Tazerzait,L5,"110,000",Fell,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=16804,18.7,4.8
Sulagiri,LL6,"110,000",Fell,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=48951,12.66667,78.03333
Lenarto,"Iron, IIIAB","108,500",Found,1814,http://www.lpi.usra.edu/meteor/metbull.php?code=12763,49,21
Elbogen,"Iron, IID","107,000",Fell,1400,http://www.lpi.usra.edu/meteor/metbull.php?code=7823,50.18333,12.73333
Abee,EH4,"107,000",Fell,1952,http://www.lpi.usra.edu/meteor/metbull.php?code=6,54.21667,-113
Tiberrhamine,L6,"107,000",Found,1967,http://www.lpi.usra.edu/meteor/metbull.php?code=23985,28.11667,0.53333
Faith,H5,"105,000",Found,1952,http://www.lpi.usra.edu/meteor/metbull.php?code=10071,45.33333,-102.08333
Cook 001,H5,"105,000",Found,1989,http://www.lpi.usra.edu/meteor/metbull.php?code=5421,-30.33333,130.53333
Chico,L6,"104,800",Found,1954,http://www.lpi.usra.edu/meteor/metbull.php?code=5346,36.5,-104.2
Juncal,"Iron, IIIAB","104,000",Found,1866,http://www.lpi.usra.edu/meteor/metbull.php?code=12211,-26,-69.25
Molong,"Pallasite, PMG","104,000",Found,1912,http://www.lpi.usra.edu/meteor/metbull.php?code=16716,-33.28333,148.88333
Colby (Wisconsin),L6,"104,000",Fell,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=5395,44.9,-90.28333
Udei Station,"Iron, IAB-ung","103,000",Fell,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=24101,7.95,8.08333
Rifle,"Iron, IAB-MG","102,700",Found,1948,http://www.lpi.usra.edu/meteor/metbull.php?code=22605,38.51667,-107.83333
Seel�_sgen,"Iron, IAB-MG","102,000",Found,1847,http://www.lpi.usra.edu/meteor/metbull.php?code=23474,52.26667,15.55
Sevrukovo,L5,"101,000",Fell,1874,http://www.lpi.usra.edu/meteor/metbull.php?code=23509,50.61667,36.6
Lutschaunig's Stone,L6,"100,000",Found,1861,http://www.lpi.usra.edu/meteor/metbull.php?code=14762,-27,-70
Pierceville (iron),"Iron, IIIAB","100,000",Found,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=18819,37.86667,-100.66667
Dimitrovgrad,"Iron, IIIAB","100,000",Found,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=7644,43.04639,22.86389
Paranaiba,L6,"100,000",Fell,1956,http://www.lpi.usra.edu/meteor/metbull.php?code=18103,-19.13333,-51.66667
Budulan,Mesosiderite-B4,"100,000",Found,1962,http://www.lpi.usra.edu/meteor/metbull.php?code=5161,50.56667,114.9
Faucett,H5,"100,000",Found,1966,http://www.lpi.usra.edu/meteor/metbull.php?code=10077,39.61667,-94.86667
Murchison,CM2,"100,000",Fell,1969,http://www.lpi.usra.edu/meteor/metbull.php?code=16875,-36.61667,145.2
Retuerta del Bullaque,"Iron, IAB-MG","100,000",Found,1980,http://www.lpi.usra.edu/meteor/metbull.php?code=56577,39.45889,-4.3775
Anyujskij,"Iron, IIAB","100,000",Found,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=2312,66.9,164.2
Kidairat,H6,"100,000",Fell,1983,http://www.lpi.usra.edu/meteor/metbull.php?code=12300,14,28
Gujba,CBa,"100,000",Fell,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=11449,11.49167,11.65833
Cook 007,H4,"100,000",Found,1989,http://www.lpi.usra.edu/meteor/metbull.php?code=5427,-30.61667,130.41667
Juancheng,H5,"100,000",Fell,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=12203,35.5,115.41667
Franconia,H5,"100,000",Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=10174,34.71637,-114.22197
Chergach,H5,"100,000",Fell,2007,http://www.lpi.usra.edu/meteor/metbull.php?code=47347,23.69639,-5.01472
Tamdakht,H5,"100,000",Fell,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=48691,31.16333,-7.015
Bou Azarif,H5,"100,000",Found,2010,http://www.lpi.usra.edu/meteor/metbull.php?code=53812,31.15643,-5.15262
Social Circle,"Iron, IVA","99,300",Found,1927,http://www.lpi.usra.edu/meteor/metbull.php?code=23659,33.7,-83.7
Steinbach,"Iron, IVA-an","98,000",Found,1724,http://www.lpi.usra.edu/meteor/metbull.php?code=23722,50.5,12.5
Palmas de Monte Alto,"Iron, IIIAB","97,000",Found,1954,http://www.lpi.usra.edu/meteor/metbull.php?code=48959,-14.3675,-43.02278
DaG 749,CO3,"95,000",Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=6296,27.30167,15.7645
Loreto,"Iron, IIIAB","94,800",Found,1896,http://www.lpi.usra.edu/meteor/metbull.php?code=14705,26.01667,-111.36667
Weekeroo Station,"Iron, IIE-an","94,200",Found,1924,http://www.lpi.usra.edu/meteor/metbull.php?code=24230,-32.26667,139.86667
Carver,"Iron, IIAB","94,000",Found,1935,http://www.lpi.usra.edu/meteor/metbull.php?code=5284,32,-86
Concho,L6,"93,500",Found,1939,http://www.lpi.usra.edu/meteor/metbull.php?code=5417,32,-101.5
Machinga,L6,"93,200",Fell,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=15371,-15.21222,35.24222
Watson 001,"Iron, IIE","93,000",Found,1972,http://www.lpi.usra.edu/meteor/metbull.php?code=24221,-30.5,131.55
Wiltshire,H5,"92,750",Found,,http://www.lpi.usra.edu/meteor/metbull.php?code=56143,51.14967,-1.81
JaH 090,L5,"92,668",Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=12149,19.71678,56.6062
Karee Kloof,"Iron, IAB-sLL","92,100",Found,1914,http://www.lpi.usra.edu/meteor/metbull.php?code=12259,-31.6,25.8
Laguna Manantiales,Iron,"92,000",Found,1945,http://www.lpi.usra.edu/meteor/metbull.php?code=12413,-48.58333,-67.41667
Juvinas,Eucrite-mmict,"91,000",Fell,1821,http://www.lpi.usra.edu/meteor/metbull.php?code=12214,44.71667,4.3
Fair Play,Pseudometeorite,"91,000",Found,1928,http://www.lpi.usra.edu/meteor/metbull.php?code=10068,37.66667,-93.55
Richardton,H5,"90,000",Fell,1918,http://www.lpi.usra.edu/meteor/metbull.php?code=22599,46.88333,-102.31667
ad-Dahbubah,H5,"90,000",Found,1961,http://www.lpi.usra.edu/meteor/metbull.php?code=376,19.83333,51.25
Mincy,Mesosiderite-B4,"89,400",Found,1857,http://www.lpi.usra.edu/meteor/metbull.php?code=16694,36.55,-93.1
Farmington,L5,"89,400",Fell,1890,http://www.lpi.usra.edu/meteor/metbull.php?code=10074,39.75,-97.03333
Bennett County,"Iron, IIAB","89,000",Found,1934,http://www.lpi.usra.edu/meteor/metbull.php?code=5022,43.5,-101.25
San Angelo,"Iron, IIIAB","88,000",Found,1897,http://www.lpi.usra.edu/meteor/metbull.php?code=23117,31.41667,-100.35
Mills,H6,"88,000",Found,1970,http://www.lpi.usra.edu/meteor/metbull.php?code=16687,36.23,-104.11889
Wagon Mound,L6,"87,500",Found,1932,http://www.lpi.usra.edu/meteor/metbull.php?code=24196,35.84083,-104.58583
Roebourne,"Iron, IIIAB","86,860",Found,1892,http://www.lpi.usra.edu/meteor/metbull.php?code=22644,-22.33333,118
Bath Furnace,L6,"86,000",Fell,1902,http://www.lpi.usra.edu/meteor/metbull.php?code=4975,38.25,-83.75
Tulia (a),H3-4,"86,000",Found,1917,http://www.lpi.usra.edu/meteor/metbull.php?code=24066,34.61667,-101.95
Apoala,"Iron, IIIAB","85,000",Found,1889,http://www.lpi.usra.edu/meteor/metbull.php?code=2317,17.7,-97
Kayakent,"Iron, IIIAB","85,000",Fell,1961,http://www.lpi.usra.edu/meteor/metbull.php?code=12268,39.26333,31.78
Juanita de Angeles,H5,"85,000",Found,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=12204,28.41667,-105.08333
Gan Gan,"Iron, IVA","83,000",Found,1984,http://www.lpi.usra.edu/meteor/metbull.php?code=10852,-42.66667,-68.08333
Bruceville,L6,"83,000",Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=5155,38.295,-121.405
Ness County (1894),L6,"82,000",Found,1894,http://www.lpi.usra.edu/meteor/metbull.php?code=16946,38.5,-99.6
Gretna,L5,"82,000",Found,1912,http://www.lpi.usra.edu/meteor/metbull.php?code=11201,39.93333,-99.21667
Renfrow,L6,"81,600",Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=22588,36.98667,-97.555
Carlton,"Iron, IAB-sLM","81,200",Found,1887,http://www.lpi.usra.edu/meteor/metbull.php?code=5277,31.91667,-98.03333
Ainsworth,"Iron, IIAB","80,650",Found,1907,http://www.lpi.usra.edu/meteor/metbull.php?code=422,42.6,-99.8
Kernouve,H6,"80,000",Fell,1869,http://www.lpi.usra.edu/meteor/metbull.php?code=12284,48.11667,-3.08333
